busqueda,farmacia,descripcion,precio_clp,precio_uf
metformina,RedFarma,METFORMINA CLORHIDRATO x60 COMPRIMIDOS RECUBIERTOS DE 850 MG,3290,0.1
metformina,RedFarma,METFORMINA x60 COMPRIMIDOS DE 850 MG,3290,0.1
metformina,RedFarma,GLIFORTEX x30 COMPRIMIDOS DE 850MG,8990,0.27
metformina,RedFarma,GLIFORTEX x60 COMPRIMIDOS DE 850MG,14490,0.44
metformina,RedFarma,GLICENEX SR x30 COMPRIMIDOS DE 500 MG,8290,0.25
metformina,RedFarma,GLICENEX SR x30 COMPRIMIDOS DE 750 MG,15090,0.46
metformina,RedFarma,GLICENEX SR x30 COMPRIMIDOS DE 1000 MG,11490,0.35
metformina,RedFarma,XIGDUO XR x28 COMPRIMIDOS RECUBIERTOS DE 10 MG/1000 MG,41390,1.25
metformina,RedFarma,HIPOGLUCIN x60 COMPRIMIDOS DE 850 MG,16790,0.51
metformina,RedFarma,GLIDANIL x30 COMPRIMIDOS DE 850 MG,6990,0.21
metformina,RedFarma,GLUCOVANCE x30 COMPRIMIDOS DE 500/5MG,17390,0.53
metformina,RedFarma,"GLUCOVANCE x30 COMPRIMIDOS DE 500/2,5MG",16990,0.51
metformina,RedFarma,GLAFORNIL x30 COMPRIMIDOS DE 500 MG,9690,0.29
metformina,RedFarma,GLUCOVANCE x30 COMPRIMIDOS RECUBIERTOS DE 1000/5MG,22390,0.68
metformina,RedFarma,GLAFORNIL XR x30 COMPRIMIDOS DE 500 MG,10790,0.33
metformina,RedFarma,GLAFORNIL XR x30 COMPRIMIDOS DE 1000 MG,25090,0.76
metformina,RedFarma,GLAFORNIL XR x30 COMPRIMIDOS DE 750 MG,20790,0.63
metformina,RedFarma,GLAUPAX x30 COMPRIMIDOS RECUBIERTOS DE 850 MG,5290,0.16
metformina,RedFarma,GLAUPAX 750 XR COMPRIMIDOS DE LIBERACION PROLONGADA 750MG .30,8990,0.27
metformina,RedFarma,JANUMET COMPRIMIDOS RECUBIERTOS 50/1000 MG.  28,30390,0.92
metformina,RedFarma,JANUMET 50/500 28 COMP.,28750,0.87
metformina,RedFarma,JANUMET COMPRIMIDOS RECUBIERTOS 50/850 MG.  28,30990,0.94
metformina,RedFarma,JANUMET COMPRIMIDOS RECUBIERTOS 50/850 MG.  56,55790,1.69
metformina,RedFarma,JANUMET COMPRIMIDOS RECUBIERTOS 50/1000 MG.  56,52890,1.6
metformina,RedFarma,JANUMET 50/500 MG. 56 COMP.,52690,1.59
metformina,Salcobrand,Metformina (B) 850mg 30Com.Rec.,2903,0.09
metformina,Salcobrand,Merformina (B) 850mg 60 Comprimidos Recubiertos,4575,0.14
metformina,Salcobrand,Glicenex 850mg Metformina 30 Comprimidos Recubiertos,8623,0.26
metformina,Salcobrand,Metformina (B) 850mg 60Com.Rec.,4399,0.13
atorvastatina,Ahumada,LIPOTEN 80 MG 28COMP,31295,0.95
atorvastatina,Ahumada,LOWDEN 10MG. CAJA 30 COMP.,18295,0.55
atorvastatina,Ahumada,Lowden 10 mg x 60 Comprimidos Recubiertos,35795,1.08
atorvastatina,Ahumada,LIPOTEN 40 MG 28COMP,29395,0.89
atorvastatina,Ahumada,HIPOLIXAN 10MG. CAJA 30 COMP.,10695,0.32
atorvastatina,Ahumada,Atorvastatina 10 mg x 30 Comprimidos Recubiertos,2695,0.08
atorvastatina,Ahumada,LOWDEN 20MG. CAJA 30 COMP.,30995,0.94
atorvastatina,Ahumada,LOWDEN 20MG. 60 COMP. REC.,47195,1.43
atorvastatina,Ahumada,LOWDEN 40MG. CAJA 30 COMP.,33895,1.03
atorvastatina,Ahumada,Lipitor 10 mg x 30 Comprimidos Recubiertos,50995,1.54
atorvastatina,Ahumada,Lipitor 40 mg x 30 Comprimidos Recubiertos,66995,2.03
atorvastatina,Ahumada,Lipitor 80 mg x 30 Comprimido Recubiertos,72995,2.21
atorvastatina,Ahumada,Lipitor 20 mg x 60 Comprimidos Recubiertos,93595,2.83
atorvastatina,Ahumada,Lipitor 20 mg x 90 Comprimidos Recubiertos,101995,3.09
atorvastatina,Ahumada,Lipitor 10 mg x 60 Comprimidos Recubiertos,64995,1.97
atorvastatina,Ahumada,Lipitor 20 mg x 30 Comprimidos Recubiertos,69995,2.12
atorvastatina,Ahumada,Caduet 5mg/10mg Caja 30 Comp. Rec.,73695,2.23
atorvastatina,Ahumada,COLMIBE 40MG/10MG CAJA 30COMP,39395,1.19
atorvastatina,Ahumada,COLMIBE 10MG/10MG CAJA 30COMP,33195,1.0
atorvastatina,Ahumada,COLMIBE 20MG/10MG CAJA 30COMP,35695,1.08
atorvastatina,Ahumada,Trinomia 100/20/10mg. 28 Cap.,24995,0.76
atorvastatina,Ahumada,"Trinomia 100/20/2,5 Mg Caja 28 Cap.",24595,0.74
atorvastatina,Ahumada,Trinomia 100/20/5 Mg. Caja  28cap.,24345,0.74
atorvastatina,Ahumada,Lopid 900 mg x 30 Comprimidos Recubiertos,57995,1.75
atorvastatina,RedFarma,ATORVASTATINA x30 COMPRIMIDOS RECUBIERTOS DE 20 MG,2490,0.08
atorvastatina,RedFarma,ATORVASTATINA x30 COMPRIMIDOS RECUBIERTOS DE 20 MG,2490,0.08
atorvastatina,RedFarma,ATORVASTATINA x30 COMPRIMIDOS RECUBIERTOS DE 10 MG,1990,0.06
atorvastatina,RedFarma,ATORVASTATINA x30 COMPRIMIDOS RECUBIERTOS DE 20 MG,2490,0.08
atorvastatina,RedFarma,ATORVASTATINA x30 COMPRIMIDOS RECUBIERTOS DE 10 MG,1990,0.06
atorvastatina,RedFarma,ATORVASTATINA x30 COMPRIMIDOS RECUBIERTOS DE 20 MG,2490,0.08
atorvastatina,RedFarma,ORVAKARE 20 MG 30 COMP.,6990,0.21
atorvastatina,RedFarma,ORVAKARE 10 MG 30 COMP.,2990,0.09
atorvastatina,RedFarma,ATORVASTATINA x30 COMPRIMIDOS RECUBIERTOS DE 20 MG,2490,0.08
atorvastatina,RedFarma,ATORVASTATINA x30 COMPRIMIDOS RECUBIERTOS DE 20 MG,2490,0.08
atorvastatina,RedFarma,ATORVASTATINA x30 COMPRIMIDOS RECUBIERTOS DE 10 MG,1990,0.06
atorvastatina,RedFarma,ATORVASTATINA x30 COMPRIMIDOS RECUBIERTOS DE 20 MG,2490,0.08
atorvastatina,RedFarma,ATORVASTATINA x30 COMPRIMIDOS RECUBIERTOS DE 10 MG,1990,0.06
atorvastatina,RedFarma,ATORVASTATINA x30 COMPRIMIDOS RECUBIERTOS DE 20 MG,2490,0.08
atorvastatina,RedFarma,ORVAKARE 20 MG 30 COMP.,6990,0.21
atorvastatina,RedFarma,ORVAKARE 10 MG 30 COMP.,2990,0.09
atorvastatina,Salcobrand,Atorvastatina (B) 20mg 30Com. Rec.,2903,0.09
atorvastatina,Salcobrand,Atorvastatina (B) 10mg 30Com. Rec.,2639,0.08
atorvastatina,Salcobrand,Atorvastatina (B) 20mg 30 Comprimidos,2903,0.09
atorvastatina,Salcobrand,Atorvastatina 40Mg. 30 Comprimidos Recubiertos,9855,0.3
